tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,22,201212,3,,Francesca Schiavone,R,166,ITA,31.52635181,11,3900,201448,,,Galina Voskoboeva,R,183,KAZ,27.03901437,58,1057,6-4 6-4,3,R16,,6,3,66,36,26,19,,8,9,1,3,58,29,20,14,,3,6
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,23,201466,,,Kaia Kanepi,R,181,EST,26.56262834,34,1580,201499,7,,Anastasia Pavlyuchenkova,R,177,RUS,20.50102669,16,2865,6-0 6-3,3,R16,,3,1,36,26,25,7,,0,0,2,7,60,30,20,9,,6,10
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,24,201492,2,,Andrea Petkovic,R,180,GER,24.31485284,10,4580,201366,,,Barbora Zahlavova Strycova,R,164,CZE,25.76591376,44,1225,7-6(2) 6-0,3,R16,,0,2,78,59,41,7,,2,3,3,5,65,38,22,11,,7,11
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,27,201212,3,,Francesca Schiavone,R,166,ITA,31.52635181,11,3900,201347,6,,Jelena Jankovic,R,177,SRB,26.84188912,14,3115,5-7 7-6(2) 6-3,3,QF,,2,6,116,47,30,34,,10,16,2,6,98,66,37,17,,6,12
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,28,201466,,,Kaia Kanepi,R,181,EST,26.56262834,34,1580,201492,2,,Andrea Petkovic,R,180,GER,24.31485284,10,4580,6-1 7-6(7),3,QF,,12,3,80,49,36,16,,3,4,1,1,66,50,30,9,,2,5
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,29,201290,,,Daniela Hantuchova,R,181,SVK,28.6954141,24,2095,200079,5,,Kim Clijsters,R,,BEL,28.56947296,13,3161,6-7(4) 3-1 RET,3,SF,,5,3,65,43,31,8,,10,12,1,3,60,40,26,10,,3,6
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,30,201466,,,Kaia Kanepi,R,181,EST,26.56262834,34,1580,201212,3,,Francesca Schiavone,R,166,ITA,31.52635181,11,3900,6-3 6-0,3,SF,,6,1,32,23,22,6,,0,0,0,6,51,26,15,8,,3,8
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,31,201466,,,Kaia Kanepi,R,181,EST,26.56262834,34,1580,201290,,,Daniela Hantuchova,R,181,SVK,28.6954141,24,2095,6-2 6-1,3,F,,4,2,41,22,18,13,,0,0,0,4,57,32,18,8,,3,8
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,1,201513,1,,Sabine Lisicki,R,178,GER,22.27789185,15,2879,200043,,WC,Virginie Razzano,R,173,FRA,28.64339494,83,811,6-4 6-4,3,R32,,4,7,64,33,25,14,,0,2,0,1,67,39,24,13,,6,10
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,2,201621,,,Mona Barthel,R,185,GER,21.47843943,69,918,200120,,,Jelena Dokic,R,175,AUS,28.72553046,66,933,7-6(5) 6-1,3,R32,,5,3,62,29,22,18,,0,2,3,7,96,56,32,16,,11,16
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,3,201493,,,Angelique Kerber,L,173,GER,23.95619439,32,1621,201523,,,Marina Erakovic,R,174,NZL,23.82477755,61,991,4-6 6-4 6-4,3,R32,,3,6,86,47,34,21,,8,12,4,4,93,51,35,19,,4,9
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,4,201504,5,,Julia Goerges,R,180,GER,23.16495551,21,2325,201086,,,Greta Arn,R,,HUN,32.72279261,63,965,7-5 3-6 6-4,3,R32,,5,3,115,73,44,25,,14,18,3,6,106,57,38,22,,8,12
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,5,201355,4,,Flavia Pennetta,R,172,ITA,29.85078713,20,2490,201514,,,Sorana Cirstea,R,176,ROU,21.73853525,60,991,6-4 7-6(5),3,R32,,1,1,76,50,32,13,,4,8,3,3,72,34,19,18,,4,9
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,6,201304,,,Elena Baltacha,R,,GBR,28.38603696,51,1120,201678,,WC,Sacha Jones,R,,AUS,21.14989733,274,203,6-2 4-6 6-3,3,R32,,2,5,90,51,32,16,,8,13,1,7,86,52,28,13,,6,14
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,7,201455,,,Elena Vesnina,R,176,RUS,25.42094456,57,1105,201517,,WC,Magdalena Rybarikova,R,180,SVK,23.24435318,71,906,6-3 6-2,3,R32,,0,3,53,39,28,9,,1,2,3,3,70,36,22,14,,6,10
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,8,201311,6,,Roberta Vinci,R,163,ITA,28.87063655,23,2125,201606,,,Rebecca Marino,R,,CAN,21.045859,64,955,7-5 6-4,3,R32,,1,3,62,39,27,12,,4,7,7,7,73,34,21,18,,9,14
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,9,201518,7,,Yanina Wickmayer,R,182,BEL,22.20123203,26,2050,201662,,Q,Karolina Pliskova,R,184,CZE,19.78370979,145,450,6-3 6-4,3,R32,,1,1,52,36,27,13,,0,0,9,1,58,33,23,12,,2,4
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,10,201506,,,Sara Errani,R,164,ITA,24.678987,45,1190,201596,,,Johanna Larsson,R,174,SWE,23.37577002,59,1006,6-1 6-1,3,R32,,1,0,38,29,21,5,,2,3,0,1,45,32,11,5,,5,11
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,11,201539,,,Christina Mchale,R,170,USA,19.6440794,43,1226,201567,,,Alexandra Dulgheru,R,,ROU,22.5927447,65,935,6-2 6-3,3,R32,,1,0,46,31,25,9,,0,0,0,4,68,48,29,6,,6,10
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,12,201320,3,,Svetlana Kuznetsova,R,174,RUS,26.51608487,19,2606,201590,,Q,Alison Riske,U,,USA,21.50034223,136,486,6-3 6-2,3,R32,,8,3,51,35,28,5,,1,3,0,3,62,39,21,8,,5,10
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,13,201512,8,,Monica Niculescu,R,168,ROU,24.27104723,30,1715,201600,,Q,Jamie Hampton,R,173,USA,21.98220397,144,453,7-6(1) 6-1,3,R32,,1,0,63,41,26,16,,4,6,1,5,55,27,15,13,,2,6
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,14,201386,,,Jie Zheng,R,164,CHN,28.49555099,48,1145,201503,,,Ayumi Morita,R,163,JPN,21.81245722,49,1130,4-6 6-3 6-4,3,R32,,1,2,93,66,34,14,,6,13,1,1,93,63,32,12,,7,16
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,15,201556,,,Lucie Hradecka,R,177,CZE,26.61738535,52,1116,201462,,,Alberta Brianti,R,,ITA,31.74264203,70,906,6-4 3-6 6-2,3,R32,,10,8,76,31,26,25,,3,4,1,3,132,80,49,28,,14,17
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,16,201397,2,,Shuai Peng,R,173,CHN,25.98220397,17,2800,201431,,Q,Aravane Rezai,R,165,FRA,24.80492813,115,591,4-6 6-3 6-4,3,R32,,7,3,90,55,42,17,,3,6,1,9,80,38,30,19,,5,9
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,17,201513,1,,Sabine Lisicki,R,178,GER,22.27789185,15,2879,201621,,,Mona Barthel,R,185,GER,21.47843943,69,918,7-6(3) 3-6 6-3,3,R16,,7,7,100,54,29,24,,7,14,5,7,133,64,38,28,,16,23
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,18,201493,,,Angelique Kerber,L,173,GER,23.95619439,32,1621,201504,5,,Julia Goerges,R,180,GER,23.16495551,21,2325,6-2 6-3,3,R16,,0,3,59,37,31,11,,1,1,2,3,46,25,15,10,,1,4
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,19,201355,4,,Flavia Pennetta,R,172,ITA,29.85078713,20,2490,201304,,,Elena Baltacha,R,,GBR,28.38603696,51,1120,6-4 6-2,3,R16,,6,4,53,26,21,18,,1,1,1,0,48,28,16,12,,0,3
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,20,201455,,,Elena Vesnina,R,176,RUS,25.42094456,57,1105,201311,6,,Roberta Vinci,R,163,ITA,28.87063655,23,2125,6-3 6-4,3,R16,,4,2,58,34,21,15,,0,2,1,3,67,38,23,12,,4,8
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,21,201506,,,Sara Errani,R,164,ITA,24.678987,45,1190,201518,7,,Yanina Wickmayer,R,182,BEL,22.20123203,26,2050,4-6 6-1 6-1,3,R16,,2,1,71,52,28,9,,4,9,3,6,93,55,24,16,,12,21
2012-W-INT-NZL-01A-2012,Auckland,Hard,32,I,20120102,22,201320,3,,Svetlana Kuznetsova,R,174,RUS,26.51608487,19,2606,201539,,,Christina Mchale,R,170,USA,19.6440794,43,1226,6-1 6-1,3,R16,,5,0,44,32,22,9,,0,0,2,3,50,33,16,5,,5,10
